mode,wait_thr,class_cut,flows_pos,detected,rate,TTR_P50,TTR_P90,TTR_avg,TTR_max,PR_AUC,F1
last_step,0.30,0.50,2255,2019,0.8953,0.000048,0.000472,5.366916,1040.848663,0.999713,0.994457
last_step,0.40,0.50,2255,2019,0.8953,0.000048,0.000472,5.366916,1040.848663,0.999713,0.994457
last_step,0.50,0.50,2255,2019,0.8953,0.000048,0.000472,5.366916,1040.848663,0.999713,0.994457
last_step,0.55,0.50,2255,2019,0.8953,0.000048,0.000472,5.366916,1040.848663,0.999713,0.994457
last_step,0.60,0.50,2255,2017,0.8945,0.000048,0.000489,5.372237,1040.848663,0.999713,0.994457
last_step,0.70,0.50,2255,2011,0.8918,0.000048,0.000540,5.388266,1040.848663,0.999713,0.994457
last_step,0.80,0.50,2255,1994,0.8843,0.000048,0.000854,5.348854,1040.848663,0.999713,0.994457
