mode,wait_thr,class_cut,flows_pos,detected,rate,TTR_P50,TTR_P90,TTR_avg,TTR_max,PR_AUC,F1
any_step,0.30,0.50,2255,2246,0.9960,0.000000,0.000000,0.024171,33.283986,0.999713,0.994457
any_step,0.40,0.50,2255,2246,0.9960,0.000000,0.000000,0.024171,33.283986,0.999713,0.994457
any_step,0.50,0.50,2255,2246,0.9960,0.000000,0.000000,0.024171,33.283986,0.999713,0.994457
any_step,0.55,0.50,2255,2246,0.9960,0.000000,0.000000,0.051179,54.688499,0.999713,0.994457
any_step,0.60,0.50,2255,2243,0.9947,0.000000,0.000000,0.057306,54.688499,0.999713,0.994457
any_step,0.70,0.50,2255,2236,0.9916,0.000000,0.000000,0.088781,54.688499,0.999713,0.994457
any_step,0.80,0.50,2255,2211,0.9805,0.000000,0.000000,0.100827,54.688499,0.999713,0.994457
